college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,1,23MA1101,Matrices and Calculus,4,BS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,1,23ES1101,Problem Solving using C Programming,3,ES,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,1,23HS1101,Communicative English and Language Skills,3,HS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,1,23PH1101,Engineering Physics,3,BS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,1,23ES1102,Basic Electrical and Electronics Engineering,4,ES,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,1,23ES1111,Problem Solving using C Programming Laboratory,2,ES,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,1,23TA1101,/ Heritage of 7 Tamils,1,HS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23MA1203,Transforms and Vector Calculus,4,BS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23AD1201,Data Structures and Algorithms,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23ES1103,Engineering Graphics,3,ES,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23ES1201,Python Programming,3,ES,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23HS1201,Communicative and Aptitude Skills,3,HS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23AD1211,Data Structures and Algorithms Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23ES1211,Python Programming,2,ES,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23ES1212,Technical Skill Practices I,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,23TA1201,Tamils and Technology,1,HS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,2,,Mandatory Course I,0,MC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,,Mathematical,4,BS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,23AD1301,23MA1304 Foundations for Artificial Intelligence Internals of Computer Systems,3,ES,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,23AD1302,Artificial Intelligence and Expert Systems,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,23AD1303,Object Oriented Programming,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,23CS1303,Paradigm Database Management Systems,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,23AD1311,Artificial Intelligence and Expert Systems Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,23AD1312,Object Oriented Programming Paradigm,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,,Database Management 23CS1312,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,23ES1311,Systems Laboratory Technical Skill Practices II,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,3,,Mandatory Course-II,0,MC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23MA1405,Probability and Statistical,4,BS,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23AD1401,techniques for Data Science Machine Learning,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23AD1402,Basics of Data Science,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23AD1403,Software Development and Practices,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,,Open Elective I,3,OE,Open Elective,elective
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23AD1404,Courses System Software and Operating Systems,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23AD1411,Machine Learning Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23AD1412,Data Science Laboratory 40/60,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,4,23ES1411,Technical Skill Practices III,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,23AD1501,Formal Language and Automata Theory,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,23AD1502,Data Communication and Network Security,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,23AD1503,Data Analytics,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,23AD1504,Knowledge Engineering and Intelligent Systems,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,,Professional Elective I,3,PE,Programme Elective,elective
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,,Data Exploration 23AD1505 50/50 and Visualization,4,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,23AD1511,Data Analytics Laboratory,2,,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,23AD1512,Knowledge Engineering and Intelligent Systems Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,5,23ES1511,Technical Skill Practices IV,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,23AD1601,Deep Learning,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,23AD1602,Computer Vision,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,23AD1603,Business Analytics,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,,Professional Elective II,3,PE,Programme Elective,elective
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,,Open Elective – II,3,OE,Open Elective,elective
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,23AD1604,Digital Image Processing,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,23AD1611,Deep Learning Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,23AD1612,Computer Vision Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,6,23ES1611,Technical Skill Practices V,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,7,23AD1701,Augmented Reality and Virtual Reality with AI,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,7,23ML1702,Natural Language Processing,3,PC,,core
Panimalar Engineering College,PANIMALAR,Artificial Intelligence and Data Science,AIDS,R2023,7,,Professional Elective III,3,PE,Programme Elective,elective
