college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,1,23MA1101,Matrices and Calculus,4,BS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,1,23ES1101,Problem Solving using C Programming,3,ES,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,1,23HS1101,Communicative English and Language Skills 50/50,3,HS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,1,23PH1101,Engineering Physics,3,BS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,1,23ES1102,Basic Electrical and Electronics Engineering,4,ES,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,1,23ES1111,Problem Solving using C Programming,2,ES,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,1,23TA1101,தமிழர ்மரபு / Heritage of Tamils,1,HS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23MA1201,Complex Variables and Laplace Transform,4,BS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23ES1201,Python Programming,3,ES,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23ES1103,Engineering Graphics,3,ES,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23HS1201,Communicative and Aptitude Skills,3,HS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23CS1201,Web Application Development,3,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23ES1211,Python Programming,2,ES,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23ES1212,Technical Skill Practices I,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,23TA1201,தமிழரும் ததொழில் நுட்பமும் / Tamils and,1,HS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,2,,Technology Mandatory Course - I,0,MC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23MA1301,Discrete Mathematics,4,BS,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23CS1301,Digital Principles and Computer Architecture,3,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23CS1302,Data Structures,3,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23CS1303,Database Management Systems,3,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23IT1301,Object Oriented Programming,3,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23CS1311,Data Structures,2,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23CS1312,Database Management Systems Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23IT1311,Object Oriented Programming Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Computer Science Engineering,CSE,R2023,3,23ES1311,Technical Skill Practices II,1,EEC,,core
