college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,1,23MA1101,Matrices and Calculus,4,BS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,1,23ES1101,Problem solving using C Programming,3,ES,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,1,23ES1103,Engineering Graphics,3,ES,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,1,23HS1101,Communicative English and Language,3,HS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,1,23PH1101,Skills Engineering Physics,3,BS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,1,23ES1111,Problem solving using C Programming,2,ES,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,1,23TA1101,Heritage of Tamils,1,HS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23MA1201,Complex Variables and Laplace Transform,4,BS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23ES1201,Python Programming,3,ES,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23HS1201,Communicative and Aptitude Skills,3,HS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23IT1201,Digital Logic and Computer Organization,4,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23ES1102,Basic Electrical and Electronics Engineering,4,ES,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23ES1211,Python Programming,2,ES,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23ES1212,Technical Skill Practices-I,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,23TA1201,/ Tamils,1,HS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,2,,and Technology Mandatory Course - I,0,MC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23MA1301,Discrete Mathematics,4,BS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23IT1301,Object Oriented Programming,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23CS1302,Data Structures,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23CS1303,Database Management Systems,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23IT1302,Microprocessor and Microcontroller Design,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23IT1311,Object Oriented Programming,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23CS1311,Data Structures,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23CS1312,Database Management Systems,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,23ES1311,Technical Skill Practices II,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,3,,Mandatory Course - II,0,MC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23MA1401,Probability and Statistical Methods,4,BS,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23CS1401,Computer Networks,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23IT1402,Design and Analysis of Algorithms,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23IT1403,Operating Systems,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23AD1405,Foundations of Data Science,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23IT1401,Object Oriented Software Engineering,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23CS1411,Computer Networks,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23AD1413,Foundations of Data Science Laboratory,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,4,23ES1411,Technical Skill Practices III,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23IT1501,Automata Theory and Compiler Engineering,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23IT1502,Web Technologies,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23IT1503,Embedded Systems and Internet of Things,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23IT1504,Artificial Intelligence,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,,Professional Elective I,3,PE,Programme Elective,elective
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,,Open Elective I,3,OE,Open Elective,elective
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23IT1511,Web Technologies,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23IT1512,Embedded Systems and Internet of Things,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23IT1513,Design Thinking and Socially Relevant,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,5,23ES1511,Project Development Technical Skill Practices IV,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,23IT1601,Pattern Recognition and Machine Learning,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,23CB1402,Introduction to Innovation and,3,,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,,Entrepreneurship Professional Elective – II,3,PE,Programme Elective,elective
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,23IT1602,Mobile and Pervasive Computing,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,23IT1603,Deep Learning and Natural Language,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,23IT1611,Pattern Recognition and Neural Networks,2,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,23CS1612,"Professional Readiness for Innovation, Employability and",2,EEC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,6,23ES1611,Entrepreneurship Technical Skill Practices V,1,EEC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,23IT1701,Cloud Computing and Big Data Analytics,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,23CS1701,Cryptography and Cyber Security,3,PC,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,23MG1701,Principles of Management,3,MG,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,,Professional Elective - III,3,PE,Programme Elective,elective
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,,Professional Elective - IV,3,PE,Programme Elective,elective
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,,Open Elective – II,3,OE,Open Elective,elective
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,23CS1711,Cryptography and Cyber,2,,,core
Panimalar Engineering College,PANIMALAR,Information Technology,IT,R2023,7,23IT1711,Security Laboratory Cloud Computing and Big Data Analytics,2,PC,,core
