college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,1,21MA102,Discrete Mathematics,3,BS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,1,21MA103,"Introduction to Statistics, Probability and Calculus",3,BS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,1,21GE102,Fundamentals of Computer Science +,4,ES,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,1,21GE104,Lab Principles of Electrical Engineering + Lab,4,ES,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,1,21PH103,Fundamentals of Physics + Lab,4,BS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,1,21EL102,Business Communication and,4,HS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,2,21MA202,Linear Algebra,4,BS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,2,21MA203,Statistical Methods + Lab,4,BS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,2,21CB201,Data Structures and Algorithms + Lab,4,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,2,21EC241,Principles of Electronics Engineering + Lab,4,ES,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,2,21CB202,Fundamentals of Economics,2,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,2,21EL202,Business Communication and,4,HS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,2,,Value Sciences - II Environmental Science and Engineering,0,MC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21MA304,Computational Statistics + Lab,4,BS,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21CB301,Formal Language and Automata Theory,5,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21CB302,Computer Organization and Architecture,4,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21CB303,Object Oriented Programming + Lab,4,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21CB304,Software Engineering + Lab,5,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21CB305,Financial Management,3,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21CB306,Indian Constitution (Non-Credit),0,MC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,3,21CS313,Aptitude and Coding Skills – I (Non-Credit),0,EEC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,4,21CB401,Operating Systems + Lab (Unix),4,PC,,core
RMD,RMD,Computer Science and Business Systems,CSBS,R2021,4,21CB402,Database Management Systems + Lab,4,PC,,core
