college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,1,22MA101,Matrices and Calculus,4,BSC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,1,22CH101,Engineering Chemistry,4,BSC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,1,22CS101,Problem Solving using C++,4,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,1,22CS102,Software Development,4,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,1,22EC101,Digital Principles and System Design,4,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,1,22ME202,Computer Aided Engineering Graphics,2,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,1,22ME111,Product Development Lab-1,1,EEC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22MA201,Transforms and Numerical Methods,4,BSC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22CS201,Data Structures,4,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22PH201,Physics for Computer Science and Information,4,BSC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22HS101,Communication,3,HSMC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22CS202,Java Programming,4,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22IT202,Database Management System,4,PCC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22ME211,Product Development Lab - 2,1,EEC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,22CH104,Environmental Sciences and Sustainability (Non,0,MC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,2,,Yoga for Stress 9,0,AC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22MA301,Discrete Mathematics,3,BSC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,,Universal Human Values II: Understanding,3,HSMC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22CS301,Advanced Java Programming,4,PCC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22CS302,Computer Organization and Architecture,3,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22CS303,Design and Analysis of Algorithms,3,PCC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22CS304,Operating Systems,3,PCC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22ME311,Product Development Lab - 3,1,EEC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22CS311,Aptitude and Coding Skills I,1,EEC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,22CS312,Internship and Seminar*,1,EEC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,3,,Value Education 10,0,AC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,4,,Microcontrollers and 1,3,ESC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,4,22MA401,Probability and Statistics,3,BSC,,core
R.M.K. Engineering College,RMK,Computer Science Engineering,CSE,R2022,4,,Artificial Intelligence,4,PCC,,core
