college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,1,24BSCY101,Engineering Chemistry,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,1,24BSMA101,Matrices and Calculus,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,1,24ESID101,Idea Engineering Lab - I,1,ESC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,1,24ESPL101,Programming in C Laboratory,1,ESC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,1,24HSTA101,Heritage of Tamils,1,HUM,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24BSCY201,CHEMISTRY FOR ENVIRONMENT,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24BSMA201,uly leicelc,9,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24BSPH203,Physics for Information Science,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24ENTP201,Digital Dynamics,0,,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24ESGE102,Engineering Practices Laboratory,2,ESC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24ESID201,L T P/ cPC,1,ESC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24HSEN201,Professional English,2,HUM,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,2,24ITPT201,OOPS Using Java Laboratory with Theory,3,PC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,3,24HSMC301,""" YNiVERSAL HUMAN VALUES II",4,HUM,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,4,24BSMA101,Matrices and Calculus,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,4,24BSPH101,Engineering Physics,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,4,24BSPH203,Physics for Information Science,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,5,24CIEL637,lol Design Protocols 3 le Technine’,4,,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,7,24ESPL101,Programming in C Laboratory,1,ESC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science Engineering (Cyber Security),CSE-CS,R2024,8,24BSPH101,Engineering Physics,3,BS,,core
