college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21LEH101T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21EES101T,Electrical and Electronics Engineering,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21MGH101T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21MGH102T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21MAB101T,Calculus and Linear Algebra,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21CSS101J,Programming for Problem Solving,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21PDM101L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21CYM101T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,1,21LEM101T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21MGH201T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21MGH202T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21MAB210T,Statistical Modeling,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21DCS201P,Design Thinking and Methodology,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21CSS201T,Computer Organization and Architecture,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21CSC201J,Data Structures and Algorithms,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21CSC202J,Operating Systems,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21LEM201T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,3,21PDM201L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,5,21MGH301T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,5,21MGH302T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,5,21CSC301T,Formal Language and Automata,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,5,21CSC302J,Computer Networks,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,5,21GNP301L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,5,21PDM301L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,5,21LEM301T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,7,21MGH401T,Entrepreneurship and Family Business,0,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,7,21MGH402T,Services Science and Service Operations,0,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,7,21CSP401L,Major Project,15,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,7,21CSP402L,Major Project,10,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,7,21CSP403L,Internship#,5,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21LEH102T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21LEH103T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21LEH104T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21LEH105T,Japanese,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21LEH106T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21LEH107T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21LEH108T,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21MGH103T,Basics of Accounting and Costing,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21GNH101J,Philosophy of Engineering,2,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21MAB301T,Probability and Statistics,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21PYB102J,C Semiconductor Physics and,5,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21CSC101T,Object Oriented Design and,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21PDM102L,General Aptitude*,0,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21GNM101L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21GNM102L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21GNM103L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,2,21GNM104L,,,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21PDH209T,Social Engineering,2,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21MGH203J,Market Research,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21MAB302T,Discrete Mathematics,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21CSC204J,Design and Analysis of Algorithms,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21CSC205P,Database Management Systems,4,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21CSC206T,Artificial Intelligence,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21PDM202L,Critical and Creative Thinking Skills,0,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,4,21LEM202T,Understanding Harmony and Ethical,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,6,21MGH303P,IT project Management,3,,,core
SRM Institute of Science and Technology,SRM,Computer Science and Business Systems,CSBS,R2021,6,21CSS303T,Data Science,2,,,core
